Entity,Code,Year,Annual CO₂ emissions
Germany,DEU,2003,894501100.0
Germany,DEU,2004,876569860.0
Germany,DEU,2005,867880500.0
Germany,DEU,2006,886434300.0
Germany,DEU,2007,846152960.0
Germany,DEU,2008,856642500.0
Germany,DEU,2009,789983940.0
South Africa,ZAF,2007,465033730.0
South Africa,ZAF,2008,494672540.0
South Africa,ZAF,2009,474512260.0
South Africa,ZAF,2010,467352500.0
South Africa,ZAF,2011,474272770.0
South Africa,ZAF,2012,461438400.0
South Africa,ZAF,2013,456188000.0
Brazil,BRA,2011,461911330.0
Brazil,BRA,2012,497468200.0
Brazil,BRA,2013,531568830.0
Brazil,BRA,2014,556525500.0
Brazil,BRA,2015,528173540.0
Brazil,BRA,2016,491744830.0
Brazil,BRA,2017,497254560.0
Russia,RUS,2015,1635243500.0
Russia,RUS,2016,1629328400.0
Russia,RUS,2017,1661012200.0
Russia,RUS,2018,1709909600.0
Russia,RUS,2019,1704458600.0
Russia,RUS,2020,1631901600.0
Russia,RUS,2021,1674524300.0
Qatar,QAT,2019,101429576.0
Qatar,QAT,2020,101329230.0
Qatar,QAT,2021,104385690.0
Qatar,QAT,2022,109594410.0
Qatar,QAT,2023,119544360.0
Qatar,QAT,2024,125812260.0
