Country,Year,GDP_Growth,Inflation,FDI,Tourist_Arrivals,POP,Employment
DEU,2003,-0.529801394291297,1.03422218628562,65401516009.2492,18399000.0,82534176.0,52.19
DEU,2004,1.16208684507278,1.66573696655992,-20408419557.1429,20137000.0,82516260.0,51.294
DEU,2005,0.885485292551564,1.54691114751328,59835195025.1916,21500000.0,82469422.0,51.803
DEU,2006,3.86668241523209,1.57742642840563,87444159239.0628,23569000.0,82376451.0,52.934
DEU,2007,2.8891174138025,2.29834400700951,50847183837.0148,24421000.0,82266372.0,53.907
DEU,2008,0.887902330743628,2.62837981637219,30954735498.0249,24884000.0,82110097.0,54.651
DEU,2009,-5.54455451920674,0.312739007368447,56701916794.9699,24220000.0,81902307.0,54.545
ZAF,2007,5.36047405394162,6.17781214809388,6586792253.1097,9208000.0,50528584.0,46.474
ZAF,2008,3.1910438863288,9.90998456005467,9885001293.44358,9729000.0,51114599.0,46.314
ZAF,2009,-1.53808913525583,7.23809523809527,7624489973.88189,9532000.0,51728516.0,44.402
ZAF,2010,3.03973288127956,4.06749555950263,3693271715.48139,11303000.0,52344051.0,40.8
ZAF,2011,3.16855627858818,5.0008533879502,4139289122.68736,12097000.0,52995205.0,42.33
ZAF,2012,2.39623238465745,5.73797139141739,4626029122.40006,13069000.0,53782567.0,42.122
ZAF,2013,2.48546800826588,5.78016910069176,8232518815.62082,14318000.0,54678791.0,42.411
BRA,2011,3.97442307944702,6.6364496221309,102427228231.42,5433000.0,195284734.0,59.955
BRA,2012,1.92117598509462,5.40349914036997,92568388321.34,5677000.0,196876111.0,59.739
BRA,2013,3.0048226702888,6.20431066640101,75211029129.4,5813000.0,198478299.0,59.766
BRA,2014,0.503955740273241,6.32904015516139,87713983217.24,6430000.0,200085127.0,59.714
BRA,2015,-3.54576339347278,9.02990102416136,64738153494.44,6306000.0,201675532.0,58.787
BRA,2016,-3.2759169063211,8.73914352329393,74294627801.19,6547000.0,203218114.0,56.845
BRA,2017,1.32286905390815,3.44637335032669,68885491315.23,6589000.0,204703445.0,56.271
RUS,2015,-1.97271922580408,15.5343959935701,6852970000.0,33729000.0,144640716.0,59.227
RUS,2016,0.193690071260534,7.04243725413707,32538900000.0,24571000.0,145015460.0,59.394
RUS,2017,1.82579006401834,3.68333072334495,28557440000.0,24390000.0,145293260.0,59.248
RUS,2018,2.80724541059601,2.87831382614981,8784850000.0,24551000.0,145398106.0,59.44
RUS,2019,2.19807571335009,4.47202631837903,31974770000.0,24419000.0,145453291.0,58.944
RUS,2020,-2.65365450102773,3.38219796948068,9478810000.0,6359000.0,145245148.0,57.97
RUS,2021,5.86649177292595,6.69445891957612,40450000000.0,,144746762.0,59.06
QAT,2019,0.688255893930972,-0.666641124861147,-2812637362.63736,2136500.0,2638657.0,87.345
QAT,2020,-3.55750284254954,-2.5403150300476,-2434065934.06593,582000.0,2794148.0,86.983
QAT,2021,1.62693587314129,2.30446565742003,-1093406593.40659,,2504910.0,86.243
QAT,2022,4.18497018544697,4.99527553740761,76098901.0989008,,2657333.0,87.461
QAT,2023,1.53979117720789,3.02764899198902,-474175824.175824,,2656032.0,87.436
QAT,2024,2.35970586926597,1.26734310292375,460164835.164835,,2857822.0,87.358
