Country,Year,Air_transport_passengers,Energy_Use_per_capita,Renewable_Energy_pct
DEU,2003,72693124.0,4096.47794323132,5.4
DEU,2004,82099657.0,4131.61083697,6.3
DEU,2005,90788848.0,4109.8805864045,7.3
DEU,2006,99647314.0,4235.93876578004,8.6
DEU,2007,106101747.0,4023.73935857078,10.5
DEU,2008,107941584.0,4081.87998694017,10.2
DEU,2009,103396735.0,3821.62500577239,10.7
ZAF,2007,12870324.0,2576.78503956652,8.7
ZAF,2008,13135437.0,2738.08467369962,9.7
ZAF,2009,12503629.0,2735.00618529644,9.2
ZAF,2010,15781210.0,2518.44190314477,9.4
ZAF,2011,16407784.9571682,2536.41417638413,9.0
ZAF,2012,17571565.2032155,2394.39798705356,8.3
ZAF,2013,16311250.0,2341.17923180198,7.8
BRA,2011,87860363.0,1390.00783643031,45.2
BRA,2012,94752568.0,1433.15306444735,43.5
BRA,2013,95591641.0,1487.45745839708,42.3
BRA,2014,100403628.0,1522.42189026812,41.7
BRA,2015,102039359.0,1482.02057858653,43.7
BRA,2016,94142377.0,1414.8979311951,45.4
BRA,2017,96395709.0,1431.95949698072,45.3
RUS,2015,76846126.0,4785.19572494067,3.2
RUS,2016,77458318.0,4917.54083897618,3.4
RUS,2017,89373638.0,4999.07990773733,3.2
RUS,2018,99327311.0,5259.90837585133,3.2
RUS,2019,108857906.0,5065.14820867318,3.2
RUS,2020,62447448.0,5044.85366917672,3.7
RUS,2021,96851769.0,5681.39248037781,3.5
QAT,2019,38804046.0,15760.736902246,0.1
QAT,2020,12558967.0,14869.2501075493,0.0
QAT,2021,17703274.0,17100.7506118977,0.0
QAT,2022,35734243.0,16683.663609726,0.1
QAT,2023,45918391.0,14570.0,0.1
QAT,2024,52729236.0,15200.0,0.1
