Year,Country,Life_Satisfaction
2003,Germany,7.1
2004,Germany,7.1
2005,Germany,7.0
2006,Germany,7.0
2007,Germany,7.1
2008,Germany,7.0
2009,Germany,7.0
2012,South Africa,4.963
2011,South Africa,5.101
2007,South Africa,4.9
2008,South Africa,5.2
2009,South Africa,5.2
2010,South Africa,5.4
2013,South Africa,5.0
2017,Brazil,6.419
2016,Brazil,6.635
2015,Brazil,6.952
2014,Brazil,6.983
2012,Brazil,6.849
2011,Brazil,6.697
2013,Brazil,6.8
2021,Russia,5.459
2020,Russia,5.477
2019,Russia,5.5460000038147
2018,Russia,5.648
2017,Russia,5.81
2016,Russia,5.963
2015,Russia,5.856
2019,Qatar,6.37
2020,Qatar,6.42
2021,Qatar,6.17
2022,Qatar,6.36
2023,Qatar,6.5
2024,Qatar,6.62
2025,Qatar,6.75
